category_id,movie_id,person_id
2,1,352
2,1,5160
4,1,5569
2,1,6693
10,1,951
1,1,5418
8,1,7953
3,1,538
2,2,7744
4,2,5689
10,2,1493
10,2,1494
1,2,3301
3,2,6636
11,2,6101
2,3,4966
2,3,6547
2,3,6729
1,3,4790
8,3,2279
6,3,536
11,4,2994
2,4,276
2,4,290
4,4,863
2,4,275
10,4,4523
8,4,5063
6,4,3896
3,4,6624
2,5,150
2,5,425
2,5,7622
4,5,1526
10,5,976
1,5,1777
1,5,5105
1,5,7538
8,6,3737
2,6,180
2,6,7093
4,6,1244
2,6,337
10,6,763
1,6,220
1,6,3715
8,6,2722
2,7,337
2,7,240
10,7,2575
8,7,3891
8,7,4979
6,8,1970
2,8,7322
2,8,5282
2,8,5770
10,8,6666
1,8,639
8,8,5600
8,8,5838
8,8,586
6,9,903
2,9,123
4,9,120
2,9,479
2,9,5529
1,9,1876
1,9,4771
8,9,1544
8,9,7951
5,10,1216
2,10,2956
4,10,6041
2,10,1943
4,10,457
10,10,601
6,10,4883
3,10,2873
11,10,2292
5,10,1047
3,11,7631
2,11,188
2,11,3439
2,11,7740
10,11,6540
1,11,5669
8,11,6939
8,11,695
6,11,6131
2,12,198
2,12,197
4,12,753
2,12,6430
10,12,3849
6,12,634
3,12,7603
11,12,629
3,13,2604
2,13,3696
2,13,158
2,13,4024
2,13,7908
10,13,2081
1,13,5850
8,13,2082
6,13,6305
6,14,572
4,14,3739
2,14,6984
2,14,541
2,14,3192
10,14,4184
1,14,5176
8,14,7244
8,14,3051
8,14,5462
11,15,2847
2,15,4228
2,15,7793
2,15,1780
2,15,1431
10,15,5307
6,15,3728
6,15,5940
3,15,6354
11,16,3818
2,16,806
4,16,69
4,16,405
2,16,14
1,16,204
8,16,1564
6,16,3497
3,16,680
11,16,3816
3,17,539
2,17,104
2,17,155
4,17,128
2,17,1995
8,17,2666
8,17,6468
4,18,3950
2,18,3044
2,18,5953
10,18,4001
8,18,3768
8,18,968
8,18,961
4,19,7584
2,19,1019
4,19,1053
8,19,6314
6,19,6896
11,19,6116
5,19,1527
2,20,6552
2,20,2106
2,20,6326
10,20,1524
8,20,261
8,20,3427
8,20,5865
8,20,7097
4,21,842
4,21,837
4,21,4313
4,21,562
10,21,6667
1,21,7238
8,21,3922
6,21,910
3,21,2149
11,22,3104
4,22,5619
2,22,1149
4,22,3258
1,22,6854
3,22,6395
6,23,920
4,23,41
2,23,511
2,23,288
2,23,5521
10,23,2320
1,23,2322
8,23,999
8,23,2321
8,23,7723
2,24,1610
1,24,6434
8,24,2489
6,24,1321
6,24,645
5,25,2644
2,25,8019
4,25,1891
2,25,2937
2,25,4975
10,25,2433
8,25,6514
6,25,2795
11,25,7499
5,26,6504
2,26,2238
2,26,6139
1,26,5288
3,26,7910
11,26,7048
2,27,1633
2,27,433
4,27,170
10,27,6441
8,27,7341
6,27,4100
6,28,2792
