id,primaryName,birth_date,death_year
1,James Horner,08/01/1953,19/06/2015 0:00
2,Bruce Lee,05/06/1940,02/04/1973 0:00
3,Raquel Welch,15/05/1940,24/05/2023 0:00
4,Brad Pitt,17/12/1963,NULL
5,Woody Allen,25/12/1935,NULL
6,Jennifer Aniston,07/06/1969,NULL
7,Rowan Atkinson,17/11/1955,NULL
8,Dan Aykroyd,21/04/1952,NULL
9,Kevin Bacon,09/06/1958,NULL
10,Fairuza Balk,02/06/1974,NULL
11,Antonio Banderas,02/10/1960,NULL
12,Adrienne Barbeau,11/09/1945,NULL
13,Luc Besson,28/09/1959,NULL
14,Kenneth Branagh,22/07/1960,NULL
15,Pierce Brosnan,25/10/1953,NULL
16,Steve Buscemi,25/10/1957,NULL
17,Nicolas Cage,27/03/1964,NULL
18,John Carpenter,26/07/1948,NULL
19,Jim Carrey,20/11/1962,NULL
20,George Clooney,15/12/1961,NULL
21,Jennifer Connelly,02/09/1970,NULL
22,Jamie Lee Curtis,03/09/1958,NULL
23,John Cusack,18/09/1966,NULL
24,Claire Danes,27/02/1979,NULL
25,Robert De Niro,02/09/1943,NULL
26,Bo Derek,20/08/1956,NULL
27,Erika Eleniak,07/03/1969,NULL
28,Cary Elwes,21/05/1962,NULL
29,Colin Firth,24/12/1960,NULL
30,Jodie Foster,19/06/1962,NULL
31,Morgan Freeman,10/11/1937,NULL
32,Gina Gershon,16/03/1962,NULL
33,Mel Gibson,01/07/1956,NULL
34,Whoopi Goldberg,19/01/1955,NULL
35,Jeff Goldblum,28/09/1952,NULL
36,Anne Heche,15/02/1969,07/05/2022 0:00
37,Anthony Hopkins,11/09/1937,NULL
38,Elizabeth Hurley,27/08/1965,NULL
39,Samuel L. Jackson,21/08/1948,NULL
40,Tommy Lee Jones,05/08/1946,NULL
41,Nicole Kidman,01/07/1967,NULL
42,Val Kilmer,01/11/1959,NULL
43,Stephen King,13/02/1947,NULL
44,Dolph Lundgren,05/06/1957,NULL
45,Madonna,25/11/1958,NULL
46,Jenny McCarthy-Wahlberg,18/05/1972,NULL
47,Ewan McGregor,05/05/1971,NULL
48,Alyssa Milano,18/03/1972,NULL
49,Demi Moore,20/10/1962,NULL
50,Julianne Moore,16/04/1960,NULL
51,Mike Myers,07/04/1963,NULL
52,Jack Nicholson,19/10/1937,NULL
53,Gary Oldman,18/10/1958,NULL
54,Al Pacino,08/04/1940,NULL
